AUD;Australske dollar ;508.78
BGN;Bulgarske lev ;380.43
BRL;Brasilianske real ;141.36
CAD;Canadiske dollar ;539.90
CHF;Schweiziske franc ;728.95
CNY;Kinesiske Yuan renminbi ;106.28
CZK;Tjekkiske koruna ;30.19
EUR;Euro ;744.04
GBP;Britiske pund ;892.35
HKD;Hongkong dollar ;86.40
HRK;Kroatiske kuna ;98.22
HUF;Ungarske forint ;1.990
IDR;Indonesiske rupiah ;0.0472
ILS;Israelske shekel ;210.47
INR;Indiske rupee ;8.88
ISK;Islandske kroner * ;5.232
JPY;Japanske yen ;5.5496
KRW;Sydkoreanske won ;0.5539
MXN;Mexicanske peso ;33.83
MYR;Malaysiske ringgit ;160.62
NOK;Norske kroner ;78.15
NZD;New Zealandske dollar ;471.30
PHP;Filippinske peso ;12.98
PLN;Polske zloty ;157.28
RON;Rumï¿½nske lei ;150.35
SEK;Svenske kroner ;71.88
SGD;Singapore dollar ;498.72
THB;Thailandske baht ;20.16
TRY;Tyrkiske lira ;45.56
USD;Amerikanske dollar ;676.28
XDR;SDR (Beregnet **) ;932.29
ZAR;Sydafrikanske rand ;46.39
